date, pm25, pm10, o3, no2, so2, co
2020/12/1, 128, 31, 18, 8, 4, 
2020/12/2, 90, 22, 16, 6, 5, 
2020/12/3, 73, 18, 19, 7, 4, 
2020/12/4, 64, 20, 20, 6, 6, 
2020/12/5, 67, 13, 18, 2, 4, 
2020/12/6, 55, 9, 11, 5, 3, 
2020/12/7, 37, 12, 18, 5, 5, 
2020/12/8, 46, 10, 16, 5, 4, 
2020/12/9, 40, 28, 6, 12, 6, 
2020/12/10, 83, 37, 6, 9, 9, 
2020/12/11, 109, 29, 9, 9, 7, 
2020/12/12, 86, 26, 10, 7, 4, 
2020/12/13, 81, 24, 11, 9, 4, 
2020/12/14, 75, 31, 12, 9, 6, 
2020/12/15, 92, 47, 7, 12, 8, 
2020/12/16, 120, 74, , 18, 10, 
2020/12/17, 164, 39, 1, 13, 5, 
2020/12/18, 109, 45, 4, 11, 12, 
2020/12/19, 125, 39, 7, 8, 9, 
2020/12/20, 108, 14, 12, 4, 7, 
2020/12/21, 54, , , , , 
2020/11/1, 88, 51, 5, 22, 8, 
2020/11/2, 126, 62, 8, 21, 8, 
2020/11/3, 152, 46, 9, 9, 6, 
2020/11/4, 122, 22, 10, 9, 4, 
2020/11/5, 70, 29, 15, 13, 4, 
2020/11/6, 79, 56, 9, 17, 5, 
2020/11/7, 137, 49, 14, 11, 6, 
2020/11/8, 130, 30, 7, 11, 5, 
2020/11/9, 90, 24, 10, 11, 4, 
2020/11/10, 74, 17, 11, 7, 2, 
2020/11/11, 55, 33, 8, 13, 7, 
2020/11/12, 92, 60, 6, 15, 9, 
2020/11/13, 155, 50, 11, 13, 14, 
2020/11/14, 134, 45, 14, 10, 19, 
2020/11/15, 123, 56, 5, 18, 7, 
2020/11/16, 143, 41, 4, 11, 5, 
2020/11/17, 113, 42, 5, 13, 3, 
2020/11/18, 115, 24, 13, 8, 4, 
2020/11/19, 75, 25, 17, 11, 5, 
2020/11/20, 76, 21, 18, 7, 2, 
2020/11/21, 68, 37, 10, 10, 4, 
2020/11/22, 107, 47, 7, 14, 8, 
2020/11/23, 131, 53, 12, 16, 8, 
2020/11/24, 142, 46, 9, 13, 6, 
2020/11/25, 127, 37, 1, 13, 6, 
2020/11/26, 105, 44, , 20, 50, 
2020/11/27, 120, 45, , 20, 28, 
2020/11/28, 126, 25, 7, 11, 9, 
2020/11/29, 79, 50, 6, 14, 11, 
2020/11/30, 120, 47, 13, 11, 9, 
2020/10/1, 55, 15, 22, 16, 3, 
2020/10/2, 42, 17, 29, 7, 3, 
2020/10/3, 40, 21, 27, 7, 3, 
2020/10/4, 44, 32, 15, 14, 4, 
2020/10/5, 66, 25, 21, 18, 4, 
2020/10/6, 61, 21, 12, 18, 4, 
2020/10/7, 57, 14, 16, 11, 3, 
2020/10/8, 44, 22, 20, 16, 4, 
2020/10/9, 58, 32, 20, 23, 5, 
2020/10/10, 77, 32, 25, 17, 8, 
2020/10/11, 83, 16, 13, 9, 4, 
2020/10/12, 55, 8, 9, 9, 4, 
2020/10/13, 32, 17, 19, 16, 6, 
2020/10/14, 46, 13, 26, 11, 3, 
2020/10/15, 41, 20, 14, 11, 4, 
2020/10/16, 62, 22, 11, 11, 5, 
2020/10/17, 68, 27, 19, 12, 5, 
2020/10/18, 80, 42, 17, 22, 5, 
2020/10/19, 109, 34, 21, 18, 4, 
2020/10/20, 91, 27, 23, 14, 3, 
2020/10/21, 76, 57, 13, 30, 15, 
2020/10/22, 123, 75, 12, 39, 12, 
2020/10/23, 165, 64, 7, 30, 12, 
2020/10/24, 149, 42, 14, 12, 10, 3
2020/10/25, 119, 30, 19, 14, 9, 
2020/10/26, 84, 18, 21, 11, 4, 
2020/10/27, 55, 31, 14, 11, 15, 
2020/10/28, 87, 44, 18, 15, 13, 
2020/10/29, 113, 24, 17, 14, 4, 
2020/10/30, 71, 22, 9, 10, 6, 
2020/10/31, 67, 30, 11, 12, 4, 
2020/9/1, 32, 12, 15, 23, 7, 
2020/9/2, 24, 25, 14, 28, 7, 
2020/9/3, 48, 27, 16, 28, 7, 
